1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36
306	3	4	1	-0.6597	0.03918	-1.059	-0.2175	-0.139	0.05466	-0.7861	-0.06812	-3.878	1.527	-0.4281	-0.2097	-0.4355	-0.1492	-0.3583	-0.2035	-0.2756	-0.1722	-0.47	-0.2573	-0.4848	-0.1053	-0.501	-0.2153	-1.098	-0.2058	-0.9524	-0.02956	-0.685	-0.01828	-0.9026	-0.1797
306	3	4	1	-0.6648	0.04342	-1.058	-0.1875	-0.1856	0.07302	-0.7935	-0.05592	-3.766	1.483	-0.4253	-0.205	-0.4299	-0.1406	-0.3632	-0.2057	-0.2767	-0.1671	-0.4636	-0.2522	-0.4619	-0.1076	-0.4996	-0.2094	-1.024	-0.1724	-0.9314	-0.02961	-0.6501	-0.0006298	-0.884	-0.1679
306	3	4	1	-0.6463	0.04882	-1.027	-0.1555	-0.2219	0.0873	-0.7779	-0.04479	-3.462	1.363	-0.4086	-0.1944	-0.4095	-0.1301	-0.3564	-0.201	-0.2679	-0.1587	-0.4445	-0.2405	-0.4288	-0.1072	-0.4824	-0.1981	-0.9266	-0.1364	-0.8823	-0.02859	-0.599	0.01317	-0.8403	-0.153
306	3	4	1	-0.6045	0.05347	-0.963	-0.1234	-0.2411	0.09484	-0.7375	-0.03574	-3.003	1.182	-0.3789	-0.1803	-0.3753	-0.1187	-0.3384	-0.1908	-0.2503	-0.1474	-0.4138	-0.2235	-0.3873	-0.1044	-0.451	-0.1827	-0.8112	-0.09914	-0.8083	-0.02627	-0.5341	0.02349	-0.7731	-0.136
306	3	4	1	-0.541	0.05605	-0.8687	-0.09241	-0.2374	0.0934	-0.6721	-0.02919	-2.434	0.9582	-0.337	-0.1642	-0.3289	-0.107	-0.3099	-0.1761	-0.2251	-0.1337	-0.3726	-0.2023	-0.3395	-0.09932	-0.4069	-0.1641	-0.6826	-0.06214	-0.7129	-0.02261	-0.4582	0.03089	-0.685	-0.1173
306	3	4	1	-0.4583	0.056	-0.7461	-0.06305	-0.2084	0.08197	-0.5829	-0.02487	-1.806	0.7108	-0.2845	-0.1468	-0.2719	-0.09502	-0.2717	-0.158	-0.1934	-0.1179	-0.3219	-0.1779	-0.2868	-0.09229	-0.3519	-0.1431	-0.5454	-0.02669	-0.6001	-0.01784	-0.3739	0.03599	-0.5787	-0.09744
306	3	4	1	-0.3601	0.05353	-0.5994	-0.0353	-0.1559	0.06133	-0.473	-0.02197	-1.164	0.4578	-0.2233	-0.128	-0.2063	-0.08231	-0.2247	-0.1371	-0.1562	-0.1001	-0.2626	-0.1506	-0.2303	-0.08332	-0.2876	-0.1203	-0.4031	0.006177	-0.4741	-0.01244	-0.2835	0.03929	-0.4578	-0.07672
306	3	4	1	-0.2505	0.04943	-0.4337	-0.008747	-0.08671	0.03411	-0.3465	-0.01939	-0.545	0.2143	-0.1554	-0.107	-0.134	-0.06794	-0.1701	-0.1133	-0.1142	-0.08044	-0.1959	-0.1206	-0.1708	-0.07234	-0.2155	-0.09574	-0.2584	0.03583	-0.339	-0.007089	-0.1892	0.04115	-0.3259	-0.05526
306	3	4	1	-0.1344	0.0448	-0.255	0.01718	-0.01092	0.004295	-0.209	-0.01603	0.02355	-0.009264	-0.08313	-0.08251	-0.05699	-0.05074	-0.1091	-0.08669	-0.06826	-0.05871	-0.1229	-0.08764	-0.1087	-0.05922	-0.1372	-0.06925	-0.113	0.06201	-0.1986	-0.00255	-0.09313	0.04174	-0.1868	-0.03311
306	3	4	1	-0.01672	0.04077	-0.0699	0.04292	0.06013	-0.02365	-0.06676	-0.01107	0.5276	-0.2072	-0.009019	-0.05345	0.02259	-0.02952	-0.0434	-0.05677	-0.01901	-0.03486	-0.04524	-0.05152	-0.04427	-0.04382	-0.05469	-0.04069	0.0319	0.08469	-0.05658	0.0004783	0.002861	0.041	-0.04466	-0.01037
306	3	4	1	0.09756	0.03818	0.1145	0.06857	0.1164	-0.0458	0.07351	-0.004181	0.9634	-0.3781	0.06429	-0.01908	0.1023	-0.003509	0.02494	-0.02329	0.03251	-0.008956	0.03512	-0.01224	0.02188	-0.02613	0.0301	-0.009968	0.1747	0.1039	0.08335	0.001506	0.09671	0.03877	0.09634	0.01275
306	3	4	1	0.2035	0.03733	0.2908	0.09367	0.1513	-0.05952	0.2052	0.004441	1.334	-0.5233	0.1339	0.02043	0.1792	0.02734	0.09345	0.01366	0.08478	0.01868	0.1155	0.02977	0.08873	-0.006362	0.1147	0.02265	0.3131	0.1192	0.2176	0.0003827	0.186	0.03479	0.2317	0.03583
306	3	4	1	0.2967	0.0377	0.452	0.1171	0.1624	-0.06388	0.3222	0.01409	1.646	-0.645	0.197	0.06384	0.2497	0.06199	0.1591	0.05338	0.1356	0.04733	0.1928	0.07343	0.1546	0.01497	0.1959	0.05643	0.4433	0.1302	0.3426	-0.002603	0.268	0.02886	0.3568	0.05821
306	3	4	1	0.3733	0.03787	0.5909	0.137	0.152	-0.05977	0.4197	0.02368	1.902	-0.7447	0.2504	0.1086	0.3098	0.09811	0.2186	0.09431	0.1819	0.0758	0.2629	0.1169	0.2168	0.03704	0.2703	0.09006	0.5595	0.1355	0.4541	-0.006684	0.3392	0.02083	0.4664	0.07897
306	3	4	1	0.4305	0.0356	0.701	0.1509	0.126	-0.04956	0.4943	0.03195	2.099	-0.8215	0.2913	0.151	0.3547	0.1321	0.268	0.134	0.22	0.1024	0.3216	0.1576	0.2719	0.0587	0.3335	0.1217	0.6542	0.1337	0.5478	-0.01066	0.3959	0.0107	0.5555	0.097
306	3	4	1	0.4666	0.02821	0.7771	0.1558	0.09315	-0.03664	0.5445	0.03776	2.228	-0.872	0.317	0.1865	0.3792	0.1593	0.3036	0.1692	0.2459	0.1251	0.3642	0.1922	0.3159	0.07858	0.3811	0.1489	0.7185	0.1229	0.619	-0.01306	0.4343	-0.00133	0.6188	0.111
306	3	4	1	0.4808	0.01313	0.8151	0.1487	0.06292	-0.02475	0.5707	0.04027	2.273	-0.8902	0.3257	0.2101	0.3787	0.1747	0.3219	0.196	0.2557	0.1416	0.3866	0.2171	0.3446	0.09523	0.4088	0.1693	0.7438	0.1017	0.6634	-0.01236	0.4507	-0.01489	0.6522	0.1197
306	3	4	1	0.4733	-0.01148	0.813	0.127	0.04385	-0.01725	0.5748	0.03924	2.216	-0.869	0.3161	0.2177	0.3495	0.1734	0.3201	0.2106	0.2464	0.1497	0.3856	0.2291	0.3545	0.1073	0.4131	0.1803	0.7227	0.06945	0.6772	-0.007327	0.4428	-0.02941	0.6527	0.1217
306	3	4	1	0.4448	-0.04622	0.771	0.08909	0.04192	-0.01649	0.5597	0.03502	2.041	-0.8024	0.2884	0.2061	0.2901	0.1518	0.2968	0.2097	0.2168	0.1478	0.3595	0.2256	0.3434	0.1137	0.3922	0.1802	0.6515	0.02635	0.6585	0.00267	0.4098	-0.04424	0.6197	0.1161
306	3	4	1	0.397	-0.09025	0.6923	0.03512	0.05937	-0.02336	0.529	0.02857	1.742	-0.6878	0.2441	0.1742	0.2021	0.1086	0.2525	0.1912	0.1679	0.1354	0.3092	0.2052	0.3109	0.1139	0.3464	0.1678	0.5316	-0.02587	0.6076	0.01742	0.3531	-0.0587	0.5553	0.1024
306	3	4	1	0.3325	-0.1413	0.5826	-0.03295	0.09418	-0.03705	0.4865	0.02123	1.328	-0.5284	0.1864	0.1234	0.09015	0.04534	0.1896	0.1547	0.1032	0.113	0.2379	0.1687	0.2593	0.108	0.2787	0.1435	0.3702	-0.08417	0.5281	0.03575	0.2771	-0.07223	0.4648	0.08079
306	3	4	1	0.2551	-0.1959	0.4504	-0.1111	0.1404	-0.05524	0.4359	0.01451	0.8271	-0.3343	0.1199	0.05777	-0.03725	-0.03352	0.1129	0.1021	0.02877	0.08286	0.1514	0.1186	0.1935	0.09689	0.1949	0.1089	0.18	-0.1445	0.4265	0.05561	0.1885	-0.08452	0.3561	0.0524
306	3	4	1	0.1697	-0.25	0.3063	-0.1938	0.1895	-0.07454	0.3805	0.009805	0.2838	-0.1225	0.05039	-0.01673	-0.1691	-0.1207	0.0286	0.03704	-0.0477	0.04811	0.05743	0.05945	0.1203	0.08208	0.1025	0.06691	-0.02227	-0.2025	0.3122	0.07434	0.09607	-0.09555	0.2393	0.01895
306	3	4	1	0.08227	-0.2993	0.1618	-0.2746	0.2317	-0.09116	0.3238	0.008169	-0.2447	0.08535	-0.01627	-0.09277	-0.293	-0.2074	-0.05592	-0.03501	-0.1177	0.01269	-0.03553	-0.003265	0.04768	0.06549	0.01038	0.02123	-0.2183	-0.254	0.1961	0.08917	0.0095	-0.1057	0.1256	-0.01721
306	3	4	1	-0.0009672	-0.3402	0.02815	-0.3469	0.2586	-0.1017	0.2686	0.01005	-0.6979	0.2664	-0.0747	-0.1629	-0.3972	-0.2843	-0.1335	-0.1079	-0.1731	-0.0194	-0.1192	-0.06361	-0.01623	0.04917	-0.07307	-0.02414	-0.3908	-0.2961	0.0896	0.0977	-0.06206	-0.1156	0.02533	-0.05351
306	3	4	1	-0.07387	-0.3703	-0.08491	-0.4055	0.2639	-0.1038	0.2176	0.01512	-1.023	0.4001	-0.121	-0.221	-0.472	-0.3436	-0.1982	-0.1756	-0.2078	-0.04486	-0.1869	-0.1164	-0.06451	0.03492	-0.1409	-0.06561	-0.5264	-0.3274	0.002425	0.0983	-0.1114	-0.1261	-0.05312	-0.08753
306	3	4	1	-0.1312	-0.3894	-0.1704	-0.447	0.2449	-0.09635	0.1731	0.02212	-1.184	0.4724	-0.153	-0.2629	-0.5114	-0.3801	-0.2459	-0.2331	-0.2182	-0.06159	-0.2344	-0.1581	-0.09234	0.02403	-0.1885	-0.1006	-0.617	-0.3481	-0.05858	0.09036	-0.1343	-0.1384	-0.1046	-0.1174
306	3	4	1	-0.1691	-0.3993	-0.2246	-0.4706	0.2028	-0.07976	0.1366	0.02897	-1.169	0.4773	-0.1708	-0.2873	-0.5138	-0.3922	-0.2749	-0.2774	-0.2038	-0.06905	-0.2603	-0.1871	-0.09758	0.01704	-0.2146	-0.1281	-0.661	-0.3598	-0.09062	0.07437	-0.1305	-0.1535	-0.128	-0.1419
306	3	4	1	-0.1856	-0.404	-0.2478	-0.4783	0.1418	-0.05579	0.109	0.03295	-0.9893	0.4182	-0.1763	-0.2957	-0.482	-0.3819	-0.2859	-0.3074	-0.1669	-0.06822	-0.2664	-0.2042	-0.08085	0.01373	-0.2206	-0.1483	-0.6626	-0.3648	-0.0954	0.05175	-0.1034	-0.1723	-0.126	-0.161
306	3	4	1	-0.1805	-0.4084	-0.2434	-0.4743	0.06946	-0.02732	0.09016	0.0312	-0.6808	0.3065	-0.1726	-0.2917	-0.4228	-0.3545	-0.2816	-0.3241	-0.1124	-0.0613	-0.2566	-0.2121	-0.04519	0.01324	-0.2108	-0.1629	-0.631	-0.3657	-0.07867	0.02456	-0.05967	-0.1958	-0.105	-0.1753
306	3	4	1	-0.1562	-0.417	-0.2172	-0.4644	-0.005173	0.002035	0.07866	0.02131	-0.2944	0.1593	-0.1634	-0.2803	-0.3454	-0.3171	-0.2662	-0.33	-0.04637	-0.05117	-0.2365	-0.2144	0.004609	0.01434	-0.1908	-0.1742	-0.5782	-0.3644	-0.0492	-0.004828	-0.007714	-0.2243	-0.07328	-0.1863
306	3	4	1	-0.1166	-0.4326	-0.1768	-0.4546	-0.07253	0.02853	0.07222	0.001851	0.1126	-0.003849	-0.1523	-0.2665	-0.26	-0.2775	-0.2443	-0.3283	0.02471	-0.04072	-0.212	-0.2151	0.06297	0.01567	-0.1668	-0.1847	-0.5169	-0.362	-0.01715	-0.03411	0.04349	-0.258	-0.04006	-0.1955
306	3	4	1	-0.0672	-0.455	-0.1296	-0.4504	-0.1244	0.04895	0.06784	-0.02717	0.4869	-0.1643	-0.1421	-0.2543	-0.1762	-0.2427	-0.2205	-0.3224	0.09501	-0.03231	-0.1886	-0.2176	0.1244	0.01609	-0.1443	-0.1966	-0.4579	-0.3585	0.0078	-0.06132	0.08621	-0.2963	-0.01354	-0.2048
306	3	4	1	-0.01404	-0.4811	-0.08178	-0.4554	-0.1555	0.06119	0.06237	-0.0642	0.7898	-0.3078	-0.1345	-0.2461	-0.1014	-0.2179	-0.1983	-0.3151	0.1601	-0.02728	-0.17	-0.224	0.1844	0.01478	-0.1273	-0.2107	-0.4089	-0.3528	0.01812	-0.08503	0.1152	-0.3385	0.0003925	-0.2155
306	3	4	1	0.03767	-0.505	-0.03755	-0.471	-0.164	0.06451	0.05323	-0.1063	1.003	-0.426	-0.1296	-0.2418	-0.03998	-0.2051	-0.1797	-0.3079	0.2174	-0.02586	-0.1581	-0.2348	0.2399	0.01142	-0.1175	-0.227	-0.373	-0.3437	0.009722	-0.1044	0.1284	-0.3832	-0.0009379	-0.2284
306	3	4	1	0.08437	-0.5195	0.00155	-0.4961	-0.1511	0.05945	0.03902	-0.1494	1.132	-0.517	-0.1267	-0.2396	0.006962	-0.204	-0.1653	-0.3015	0.2662	-0.02723	-0.1526	-0.2486	0.2892	0.006077	-0.1145	-0.2441	-0.3494	-0.3298	-0.01749	-0.1192	0.1273	-0.4287	-0.01671	-0.2437
306	3	4	1	0.1248	-0.5182	0.03637	-0.5276	-0.1201	0.04724	0.01989	-0.1896	1.202	-0.5836	-0.1237	-0.2365	0.04144	-0.2119	-0.1542	-0.295	0.3072	-0.02989	-0.1515	-0.263	0.3324	-0.0009203	-0.1159	-0.2598	-0.3338	-0.3106	-0.05983	-0.1296	0.1161	-0.473	-0.04304	-0.2606
306	3	4	1	0.1599	-0.4963	0.06958	-0.561	-0.07386	0.02905	-0.002386	-0.2229	1.248	-0.6308	-0.1185	-0.2288	0.06751	-0.2247	-0.1445	-0.2871	0.3421	-0.0321	-0.1515	-0.275	0.3705	-0.009146	-0.1183	-0.2714	-0.3201	-0.2871	-0.1106	-0.1359	0.1011	-0.5142	-0.07384	-0.278
306	3	4	1	0.1927	-0.4528	0.1047	-0.5911	-0.01365	0.005368	-0.02475	-0.2467	1.309	-0.6635	-0.1089	-0.2133	0.09017	-0.2379	-0.1339	-0.2762	0.373	-0.03238	-0.1492	-0.2814	0.4053	-0.01825	-0.1178	-0.2766	-0.3021	-0.2611	-0.1617	-0.1389	0.08922	-0.5507	-0.1021	-0.2946
306	3	4	1	0.2269	-0.39	0.1453	-0.6133	0.0619	-0.02435	-0.04352	-0.2599	1.42	-0.6849	-0.09355	-0.1881	0.1143	-0.2477	-0.1201	-0.2609	0.4018	-0.02984	-0.1412	-0.2799	0.4385	-0.02803	-0.111	-0.2739	-0.2745	-0.2356	-0.2047	-0.1393	0.08666	-0.5813	-0.1211	-0.3089
306	3	4	1	0.2663	-0.3137	0.194	-0.6241	0.1558	-0.06127	-0.05507	-0.2628	1.601	-0.6967	-0.07188	-0.1529	0.1436	-0.2512	-0.1013	-0.2405	0.4301	-0.02438	-0.1251	-0.2692	0.4719	-0.03847	-0.09511	-0.2625	-0.2339	-0.2138	-0.2325	-0.1379	0.09818	-0.6053	-0.1256	-0.3195
306	3	4	1	0.3142	-0.2321	0.2521	-0.6216	0.2699	-0.1062	-0.05661	-0.2573	1.861	-0.7005	-0.04464	-0.1089	0.1804	-0.2472	-0.07678	-0.215	0.4587	-0.01666	-0.09977	-0.2493	0.5068	-0.04966	-0.069	-0.2433	-0.1793	-0.1986	-0.2404	-0.1359	0.1264	-0.6226	-0.1123	-0.3259
306	3	4	1	0.3724	-0.1545	0.3196	-0.6056	0.4014	-0.1579	-0.04661	-0.2462	2.19	-0.6994	-0.01356	-0.05893	0.2254	-0.2357	-0.04664	-0.1851	0.4878	-0.007921	-0.06517	-0.2215	0.544	-0.06171	-0.03276	-0.2178	-0.1114	-0.1917	-0.2268	-0.1342	0.1714	-0.6336	-0.08083	-0.3275
306	3	4	1	0.4413	-0.08964	0.3946	-0.5776	0.5388	-0.2119	-0.02508	-0.233	2.562	-0.7	0.0189	-0.006692	0.2777	-0.2177	-0.0121	-0.1523	0.5173	0.0003109	-0.02268	-0.188	0.5838	-0.07473	0.01215	-0.1887	-0.03281	-0.1934	-0.1927	-0.134	0.2313	-0.639	-0.03293	-0.3246
306	3	4	1	0.5196	-0.04504	0.4743	-0.5402	0.6597	-0.2595	0.006553	-0.2213	2.935	-0.7133	0.05018	0.04371	0.3351	-0.1953	0.02491	-0.1185	0.5468	0.006527	0.02545	-0.1517	0.6262	-0.08871	0.06327	-0.1587	0.05313	-0.2022	-0.1419	-0.1364	0.3024	-0.6397	0.02757	-0.318
306	3	4	1	0.6046	-0.02548	0.5554	-0.4969	0.7312	-0.2876	0.04588	-0.2142	3.255	-0.7545	0.07816	0.08834	0.3952	-0.1706	0.06212	-0.08557	0.576	0.009538	0.07652	-0.1154	0.6707	-0.1035	0.1177	-0.1306	0.1428	-0.2158	-0.07939	-0.1418	0.3801	-0.6369	0.09589	-0.3087
306	3	4	1	0.6926	-0.03295	0.6347	-0.4514	0.7148	-0.2812	0.09014	-0.2136	3.468	-0.8403	0.1018	0.1239	0.4554	-0.146	0.09747	-0.05537	0.6047	0.008655	0.1279	-0.08187	0.717	-0.1188	0.1727	-0.1065	0.233	-0.2311	-0.01044	-0.1504	0.4597	-0.6317	0.1673	-0.298
306	3	4	1	0.7796	-0.06649	0.7099	-0.4069	0.5742	-0.2259	0.137	-0.2204	3.525	-0.9853	0.1216	0.1481	0.5134	-0.1236	0.1294	-0.02925	0.6331	0.003726	0.1773	-0.0529	0.7645	-0.1342	0.2261	-0.08785	0.3212	-0.245	0.06046	-0.1615	0.5368	-0.6257	0.238	-0.2868
306	3	4	1	0.8619	-0.1225	0.7803	-0.3663	0.2879	-0.1132	0.1849	-0.2338	3.401	-1.196	0.1391	0.1597	0.5677	-0.1051	0.1574	-0.008093	0.6615	-0.004946	0.2234	-0.0295	0.8131	-0.1491	0.2765	-0.07485	0.4058	-0.2556	0.1305	-0.1741	0.6083	-0.6204	0.3058	-0.276
306	3	4	1	0.9364	-0.1949	0.8469	-0.3314	-0.1398	0.055	0.2339	-0.2516	3.107	-1.466	0.1574	0.1585	0.6177	-0.09185	0.1815	0.007768	0.6904	-0.01677	0.2656	-0.01182	0.8626	-0.1626	0.3235	-0.06705	0.486	-0.262	0.1986	-0.1864	0.6721	-0.6175	0.3705	-0.2659
